*** Bundlelist:
Status: 195 bundles in total - all 195 bundles active.

bcpkix (1.60) "bcpkix" [active, 188] 
  Reference=resolverFactory, Satisfied
    Service Name: org.apache.sling.api.resource.ResourceResolverFactory
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 614 (Apache Sling Resource Resolver Factory)
  Reference=assetsService, Satisfied
    Service Name: com.composum.assets.commons.service.AssetsService
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2976 (com.composum.assets.commons.service.DefaultAssetsService)
  Properties=
    component.id=1079
    component.name=com.composum.assets.commons.event.AdjustDefaultConfigObserver
    service.vendor=IST GmbH Dresden

1080=[Composum Assets - Adaptive Image Servlet]
  Bundle=com.composum.assets.commons (186)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=javax.servlet.Servlet
  ServiceId=2971
  Reference=adaptiveImageService, Satisfied
    Service Name: com.composum.assets.commons.service.AdaptiveImageService
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2970 (com.composum.assets.commons.service.DefaultAdaptiveImageService)
  Reference=sequencer, Satisfied
    Service Name: com.composum.sling.core.concurrent.SequencerService
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2376 (com.composum.sling.core.concurrent.SemaphoreSequencer)
  Properties=
    component.id=1080
    component.name=Composum Assets - Adaptive Image Servlet
    redirect.unwanted=true
    service.vendor=IST GmbH Dresden
    simple.deviver=true
    sling.servlet.extensions=[jpg, jpeg, png, gif]
    sling.servlet.methods=[GET]
    sling.servlet.resourceTypes=[sling/servlet/default]
    sling.servlet.selectors=[adaptive]

1081=[com.composum.assets.commons.event.AssetChangeObserver]
  Bundle=com.composum.assets.commons (186)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=javax.jcr.observation.EventListener
  ServiceId=2962
  Reference=repository, Satisfied
    Service Name: org.apache.sling.jcr.api.SlingRepository
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 547 (org.apache.sling.jcr.oak.server.internal.OakSlingRepositoryManager)
  Reference=resolverFactory, Satisfied
    Service Name: org.apache.sling.api.resource.ResourceResolverFactory
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 614 (Apache Sling Resource Resolver Factory)
  Properties=
    component.id=1081
    component.name=com.composum.assets.commons.event.AssetChangeObserver
    service.vendor=IST GmbH Dresden

1082=[com.composum.assets.commons.service.DefaultAssetsService]
  Bundle=com.composum.assets.commons (186)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.assets.commons.service.AssetsService
  ServiceId=2976
  Reference=adaptiveImageService, Satisfied
    Service Name: com.composum.assets.commons.service.AdaptiveImageService
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2970 (com.composum.assets.commons.service.DefaultAdaptiveImageService)
  Properties=
    component.id=1082
    component.name=com.composum.assets.commons.service.DefaultAssetsService
    service.vendor=IST GmbH Dresden

1083=[com.composum.assets.commons.image.transform.GraphicsCropTransformer]
  Bundle=com.composum.assets.commons (186)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.assets.commons.image.ImageTransformer
  ServiceId=2969
  Properties=
    component.id=1083
    component.name=com.composum.assets.commons.image.transform.GraphicsCropTransformer
    service.vendor=IST GmbH Dresden

1084=[com.composum.assets.commons.service.DefaultAdaptiveImageService]
  Bundle=com.composum.assets.commons (186)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.assets.commons.service.AdaptiveImageService
  ServiceId=2970
  Reference=resolverFactory, Satisfied
    Service Name: org.apache.sling.api.resource.ResourceResolverFactory
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 614 (Apache Sling Resource Resolver Factory)
  Reference=lazyCreationService, Satisfied
    Service Name: com.composum.sling.core.concurrent.LazyCreationService
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2379 (com.composum.sling.core.concurrent.LazyCreationServiceImpl)
  Reference=renditionTransformer, Satisfied
    Service Name: com.composum.assets.commons.image.RenditionTransformer
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2956 (com.composum.assets.commons.image.DefaultRenditionTransformer)
  Properties=
    component.id=1084
    component.name=com.composum.assets.commons.service.DefaultAdaptiveImageService
    service.vendor=IST GmbH Dresden
    thread.pool.size=9

1085=[com.composum.assets.commons.image.transform.GaussianBlurTransformer]
  Bundle=com.composum.assets.commons (186)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.assets.commons.image.ImageTransformer
  ServiceId=2984
  Properties=
    component.id=1085
    component.name=com.composum.assets.commons.image.transform.GaussianBlurTransformer
    service.vendor=IST GmbH Dresden

1086=[com.composum.assets.commons.image.transform.GraphicsScaleTransformer]
  Bundle=com.composum.assets.commons (186)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.assets.commons.image.ImageTransformer
  ServiceId=2985
  Properties=
    component.id=1086
    component.name=com.composum.assets.commons.image.transform.GraphicsScaleTransformer
    service.vendor=IST GmbH Dresden

1087=[com.composum.assets.commons.AssetsConfigImpl]
  Bundle=com.composum.assets.commons (186)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.assets.commons.AssetsConfiguration
  ServiceId=2986
  Properties=
    assetNodeFilterRule=or{PrimaryType(+'^cpa:Asset$'),and{PrimaryType(+'^nt:file$'),MimeType(+'^(image|video)/.*$')}})
    assetPathFilterRule=Path(+'^/$,^/(content|test)(/.*)?$')
    assetsCategories=assets
    component.id=1087
    component.name=com.composum.assets.commons.AssetsConfigImpl
    defaultNodeFilterRule=and{Name(-'^rep:(repo)?[Pp]olicy$'),Path(-'^/bin(/.*)?$,^/services(/.*)?$,^/servlet(/.*)?$,^/(jcr:)?system(/.*)?$')}
    service.description=Composum Assets Module Configuration
    treeIntermediateFilterRule=Folder()

1088=[com.composum.assets.manager.AssetManagerServlet]
  Bundle=com.composum.assets.manager (187)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=javax.servlet.Servlet
  ServiceId=2995
  Properties=
    component.id=1088
    component.name=com.composum.assets.manager.AssetManagerServlet
    service.vendor=IST GmbH Dresden
    sling.servlet.methods=[GET]
    sling.servlet.paths=[/bin/assets]

1089=[com.composum.assets.manager.servlet.AssetsServlet]
  Bundle=com.composum.assets.manager (187)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=javax.servlet.Servlet
  ServiceId=2998
  Reference=assetsConfig, Satisfied
    Service Name: com.composum.assets.commons.AssetsConfiguration
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2986 (com.composum.assets.commons.AssetsConfigImpl)
  Reference=assetsService, Satisfied
    Service Name: com.composum.assets.commons.service.AssetsService
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2976 (com.composum.assets.commons.service.DefaultAssetsService)
  Reference=metaPropertiesService, Satisfied
    Service Name: com.composum.assets.commons.service.MetaPropertiesService
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2987 (Composum Assets - Meta Data Extraction Service)
  Reference=nodesConfig, Satisfied
    Service Name: com.composum.sling.nodes.NodesConfiguration
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2419 (com.composum.sling.nodes.NodesConfigImpl)
  Properties=
    component.id=1089
    component.name=com.composum.assets.manager.servlet.AssetsServlet
    service.description=Assets Servlet
    sling.servlet.methods=[GET, POST, PUT, DELETE]
    sling.servlet.paths=/bin/cpm/assets/assets

1090=[com.composum.pages.commons.AssetsConfigImpl]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.AssetsConfiguration
  ServiceId=3005
  Reference=pagesConfiguration, Satisfied
    Service Name: com.composum.pages.commons.PagesConfiguration
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3004 (com.composum.pages.commons.PagesConfigImpl)
  Properties=
    assetNodeFilterRule=PrimaryType(+'^cpa:(Asset)$')
    component.id=1090
    component.name=com.composum.pages.commons.AssetsConfigImpl
    documentNodeFilterRule=and{PrimaryType(+'^nt:(file)$'),MimeType(+'^application/pdf')}
    imageNodeFilterRule=and{PrimaryType(+'^nt:(file)$'),MimeType(+'^image/')}
    service.description=Composum Pages Assets Configuration
    treeIntermediateFilterRule=and{or{Folder(),PrimaryType(+'^cpp:(Site)$')},Path(-'^/(etc|conf|apps|libs|sightly|htl|var)')}
    videoNodeFilterRule=and{PrimaryType(+'^nt:(file)$'),MimeType(+'^video/')}

1091=[com.composum.pages.commons.PagesConfigImpl]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.PagesConfiguration
  ServiceId=3004
  Properties=
    assetFilterRule=PrimaryType(+'^(cpp:Asset|nt:file)$')
    component.id=1091
    component.name=com.composum.pages.commons.PagesConfigImpl
    componentIntermediateFilterRule=PrimaryType(+'^cpp:(PageContent)$')
    containerNodeFilterRule=PrimaryType(+'^cpp:(Container|Page|Site)$')
    defaultSitesRoot=/content/sites
    devIntermediateFilterRule=and{Folder(),Path(+'^/(etc|conf|apps|libs|sightly|htl|var)(/.+)?')}
    develomentTreeFilterRule=Path(+'^/(etc|conf|apps|libs|sightly|htl|var)/+')
    elementNodeFilterRule=PrimaryType(+'^cpp:(Element|Container|Page|Site)$')
    orderableNodesFilterRule=or{Type(+[node:orderable]),PrimaryType(+'^.*([Oo]rdered|[Pp]age).*$')}
    pageFilterRule=PrimaryType(+'^cpp:Page$')
    pageNodeFilterRule=PrimaryType(+'^cpp:(Page|Site)$')
    replicationRootFilterRule=Path(-'^/(public|preview)')
    service.description=Composum Pages Module Configuration
    siteNodeFilterRule=PrimaryType(+'^cpp:(Site)$')
    treeIntermediateFilterRule=and{Folder(),Path(-'^/(etc|conf|apps|libs|sightly|htl|var)')}

1092=[com.composum.pages.commons.event.AdjustPagePostProcessor]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=org.apache.sling.servlets.post.SlingPostProcessor
  ServiceId=3014
  Reference=pageManager, Satisfied
    Service Name: com.composum.pages.commons.service.PageManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3013 (com.composum.pages.commons.service.PagesPageManager)
  Properties=
    component.id=1092
    component.name=com.composum.pages.commons.event.AdjustPagePostProcessor

1093=[com.composum.pages.commons.replication.InPlaceAssetReplication]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.replication.ReplicationStrategy
  ServiceId=3006
  Properties=
    component.id=1093
    component.name=com.composum.pages.commons.replication.InPlaceAssetReplication
    service.description=In Place Asset Replication Strategy

1094=[com.composum.pages.commons.replication.InPlaceFolderReplication]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.replication.ReplicationStrategy
  ServiceId=3007
  Properties=
    component.id=1094
    component.name=com.composum.pages.commons.replication.InPlaceFolderReplication
    service.description=In Place Folder Replication Strategy

1095=[com.composum.pages.commons.replication.InPlacePageReplication]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.replication.ReplicationStrategy
  ServiceId=3017
  Reference=releaseManager, Satisfied
    Service Name: com.composum.sling.platform.staging.StagingReleaseManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2919 (com.composum.sling.platform.staging.impl.DefaultStagingReleaseManager)
  Reference=siteManager, Satisfied
    Service Name: com.composum.pages.commons.service.SiteManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3016 (com.composum.pages.commons.service.PagesSiteManager)
  Properties=
    component.id=1095
    component.name=com.composum.pages.commons.replication.InPlacePageReplication
    service.description=In Place Page Replication Strategy

1096=[com.composum.pages.commons.replication.PagesReleaseServiceImpl]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.replication.PagesReleaseService, com.composum.sling.platform.staging.ReleaseChangeEventListener
  ServiceId=3018
  Reference=releaseManager, Satisfied
    Service Name: com.composum.sling.platform.staging.StagingReleaseManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2919 (com.composum.sling.platform.staging.impl.DefaultStagingReleaseManager)
  Reference=replicationManager, Satisfied
    Service Name: com.composum.pages.commons.replication.ReplicationManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3008 (com.composum.pages.commons.replication.PagesReplicationManager)
  Reference=siteManager, Satisfied
    Service Name: com.composum.pages.commons.service.SiteManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3016 (com.composum.pages.commons.service.PagesSiteManager)
  Properties=
    component.id=1096
    component.name=com.composum.pages.commons.replication.PagesReleaseServiceImpl
    service.description=Pages Replication Service

1097=[com.composum.pages.commons.replication.PagesReplicationManager]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.replication.ReplicationManager
  ServiceId=3008
  Reference=ReplicationStrategy, Satisfied
    Service Name: com.composum.pages.commons.replication.ReplicationStrategy
    Cardinality: 0..n
    Policy: dynamic
    Policy Option: reluctant
    Bound Service: ID 3006 (com.composum.pages.commons.replication.InPlaceAssetReplication)
    Bound Service: ID 3007 (com.composum.pages.commons.replication.InPlaceFolderReplication)
    Bound Service: ID 3017 (com.composum.pages.commons.replication.InPlacePageReplication)
  Properties=
    component.id=1097
    component.name=com.composum.pages.commons.replication.PagesReplicationManager
    contentPath=/content
    inPlaceEnabled=true
    inPlacePreviewPath=/preview
    inPlacePublicPath=/public
    service.description=Pages Replication Manager

1098=[com.composum.pages.commons.request.PagesReleaseFilter]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=javax.servlet.Filter
  ServiceId=3019
  Reference=replicationManager, Satisfied
    Service Name: com.composum.pages.commons.replication.ReplicationManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3008 (com.composum.pages.commons.replication.PagesReplicationManager)
  Reference=siteManager, Satisfied
    Service Name: com.composum.pages.commons.service.SiteManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3016 (com.composum.pages.commons.service.PagesSiteManager)
  Properties=
    component.id=1098
    component.name=com.composum.pages.commons.request.PagesReleaseFilter
    release.filter.enabled=true
    service.description=Composum Pages Release Filter
    service.ranking=5070
    sling.filter.scope=REQUEST
    unreleased.path.allow=[^/(apps|libs)/.*\.(css|js|jpg|jpeg|gif|png|ttf|woff)$, ^/libs/sling/servlet/errorhandler/.*$, ^/libs/(themes|fonts|jslibs|composum|sling)/.*$, ^/libs(/composum/platform/security)?/login.*$]
    unreleased.uri.allow=[^/(apps|libs)/.*\.(css|js|jpg|jpeg|gif|png|ttf|woff)$, ^/bin/public/clientlibs\.(min\.)?(css|js)(/.*)?$, ^/j_security_check$]

1099=[Composum Pages Request Aspects Adapter Factory]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=org.apache.sling.api.adapter.AdapterFactory
  ServiceId=3009
  Properties=
    adaptables=org.apache.sling.api.SlingHttpServletRequest
    adapters=[com.composum.sling.platform.security.AccessMode, com.composum.pages.commons.request.DisplayMode, com.composum.pages.commons.request.PagesLocale]
    component.id=1099
    component.name=Composum Pages Request Aspects Adapter Factory
    service.description=the adapter factory for all request aspects - access mode, display mode, language

1100=[com.composum.pages.commons.service.PagesComponentManager]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.ComponentManager
  ServiceId=3011
  Properties=
    component.id=1100
    component.name=com.composum.pages.commons.service.PagesComponentManager
    service.description=Composum Pages Component Manager

1101=[com.composum.pages.commons.service.PagesEditService]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.EditService
  ServiceId=3015
  Reference=pageManager, Satisfied
    Service Name: com.composum.pages.commons.service.PageManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3013 (com.composum.pages.commons.service.PagesPageManager)
  Reference=resourceManager, Satisfied
    Service Name: com.composum.pages.commons.service.ResourceManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3012 (com.composum.pages.commons.service.PagesResourceManager)
  Properties=
    component.id=1101
    component.name=com.composum.pages.commons.service.PagesEditService
    service.description=Composum Pages Elements Manager

1102=[com.composum.pages.commons.service.PagesPageManager]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.PageManager
  ServiceId=3013
  Reference=pagesConfig, Satisfied
    Service Name: com.composum.pages.commons.PagesConfiguration
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3004 (com.composum.pages.commons.PagesConfigImpl)
  Reference=replicationManager, Satisfied
    Service Name: com.composum.pages.commons.replication.ReplicationManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3008 (com.composum.pages.commons.replication.PagesReplicationManager)
  Reference=resourceManager, Satisfied
    Service Name: com.composum.pages.commons.service.ResourceManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3012 (com.composum.pages.commons.service.PagesResourceManager)
  Reference=tenantSupport, Satisfied
    Service Name: com.composum.pages.commons.service.PagesTenantSupport
    Cardinality: 0..1
    Policy: dynamic
    Policy Option: reluctant
    Bound Service: ID 3100 (com.composum.platform.tenant.support.TenantSupport)
  Reference=versionsService, Satisfied
    Service Name: com.composum.sling.platform.staging.versions.PlatformVersionsService
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2922 (com.composum.sling.platform.staging.versions.PlatformVersionsServiceImpl)
  Properties=
    component.id=1102
    component.name=com.composum.pages.commons.service.PagesPageManager
    service.description=Composum Pages Page Manager

1103=[com.composum.pages.commons.service.PagesResourceManager]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.ResourceManager
  ServiceId=3012
  Reference=cacheManager, Satisfied
    Service Name: com.composum.platform.cache.service.CacheManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2803 (com.composum.platform.cache.service.impl.CacheManagerImpl)
  Reference=pageManager, Satisfied
    Service Name: com.composum.pages.commons.service.PageManager
    Cardinality: 0..1
    Policy: dynamic
    Policy Option: reluctant
    Bound Service: ID 3013 (com.composum.pages.commons.service.PagesPageManager)
  Reference=tenantSupport, Satisfied
    Service Name: com.composum.pages.commons.service.PagesTenantSupport
    Cardinality: 0..1
    Policy: dynamic
    Policy Option: reluctant
    Bound Service: ID 3100 (com.composum.platform.tenant.support.TenantSupport)
  Properties=
    component.id=1103
    component.name=com.composum.pages.commons.service.PagesResourceManager
    maxElementsInMemory=1000
    service.description=Composum Pages Resource Manager
    timeToIdleSeconds=300
    timeToLiveSeconds=600
    webconsole.configurationFactory.nameHint=Templates (heap: {maxElementsInMemory}, time: {timeToIdleSeconds}-{timeToLiveSeconds})

1104=[com.composum.pages.commons.service.PagesSiteManager]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.SiteManager
  ServiceId=3016
  Reference=pageManager, Satisfied
    Service Name: com.composum.pages.commons.service.PageManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3013 (com.composum.pages.commons.service.PagesPageManager)
  Reference=pagesConfig, Satisfied
    Service Name: com.composum.pages.commons.PagesConfiguration
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3004 (com.composum.pages.commons.PagesConfigImpl)
  Reference=resourceManager, Satisfied
    Service Name: com.composum.pages.commons.service.ResourceManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3012 (com.composum.pages.commons.service.PagesResourceManager)
  Reference=tenantSupport, Satisfied
    Service Name: com.composum.pages.commons.service.PagesTenantSupport
    Cardinality: 0..1
    Policy: dynamic
    Policy Option: reluctant
    Bound Service: ID 3100 (com.composum.platform.tenant.support.TenantSupport)
  Properties=
    component.id=1104
    component.name=com.composum.pages.commons.service.PagesSiteManager
    service.description=Composum Pages Site Manager

1105=[com.composum.pages.commons.service.PagesVersionsService]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.VersionsService
  ServiceId=3021
  Reference=pageManager, Satisfied
    Service Name: com.composum.pages.commons.service.PageManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3013 (com.composum.pages.commons.service.PagesPageManager)
  Reference=platformVersionsService, Satisfied
    Service Name: com.composum.sling.platform.staging.versions.PlatformVersionsService
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2922 (com.composum.sling.platform.staging.versions.PlatformVersionsServiceImpl)
  Reference=releaseManager, Satisfied
    Service Name: com.composum.sling.platform.staging.StagingReleaseManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 2919 (com.composum.sling.platform.staging.impl.DefaultStagingReleaseManager)
  Properties=
    component.id=1105
    component.name=com.composum.pages.commons.service.PagesVersionsService
    service.description=Composum Pages Versions Service

1106=[com.composum.pages.commons.service.PagesWidgetManager]
  Bundle=com.composum.pages.commons (180)
  State=satisfied
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.WidgetManager
  ServiceId=3022
  Properties=
    component.id=1106
    component.name=com.composum.pages.commons.service.PagesWidgetManager
    service.description=Composum Pages Widget Manager

1107=[com.composum.pages.commons.service.impl.PagesTrackingService]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.TrackingService
  ServiceId=3023
  Reference=replicationManager, Satisfied
    Service Name: com.composum.pages.commons.replication.ReplicationManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3008 (com.composum.pages.commons.replication.PagesReplicationManager)
  Reference=resolverFactory, Satisfied
    Service Name: org.apache.sling.api.resource.ResourceResolverFactory
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 614 (Apache Sling Resource Resolver Factory)
  Properties=
    component.id=1107
    component.name=com.composum.pages.commons.service.impl.PagesTrackingService
    cookiePolicy=session
    service.description=Composum Pages Tracking Service
    webconsole.configurationFactory.nameHint={name} (cookiePolicy: {cookiePolicy})

1108=[com.composum.pages.commons.service.search.AssetSearchPlugin]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.search.SearchPlugin
  ServiceId=3024
  Properties=
    component.id=1108
    component.name=com.composum.pages.commons.service.search.AssetSearchPlugin
    service.description=Pages Default Asset Search Plugin

1109=[com.composum.pages.commons.service.search.PageSearchPlugin]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.search.SearchPlugin
  ServiceId=3025
  Properties=
    component.id=1109
    component.name=com.composum.pages.commons.service.search.PageSearchPlugin
    service.description=Pages Default Page Search Plugin

1110=[com.composum.pages.commons.service.search.PagesSearchService]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.search.SearchService
  ServiceId=3026
  Reference=SearchPlugin, Satisfied
    Service Name: com.composum.pages.commons.service.search.SearchPlugin
    Cardinality: 0..n
    Policy: dynamic
    Policy Option: reluctant
    Bound Service: ID 3024 (com.composum.pages.commons.service.search.AssetSearchPlugin)
    Bound Service: ID 3025 (com.composum.pages.commons.service.search.PageSearchPlugin)
    Bound Service: ID 3027 (com.composum.pages.commons.service.search.ResourceSearchPlugin)
  Properties=
    component.id=1110
    component.name=com.composum.pages.commons.service.search.PagesSearchService
    maximumMatchCount=100
    overshoot=3
    service.description=Pages Search Service
    webconsole.configurationFactory.nameHint={name} (maximumMatchCount: {maximumMatchCount})

1111=[com.composum.pages.commons.service.search.ResourceSearchPlugin]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=immediate
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=com.composum.pages.commons.service.search.SearchPlugin
  ServiceId=3027
  Properties=
    component.id=1111
    component.name=com.composum.pages.commons.service.search.ResourceSearchPlugin
    service.description=Pages Default Resource Search Plugin

1112=[com.composum.pages.commons.servlet.AssetServlet]
  Bundle=com.composum.pages.commons (180)
  State=active
  DefaultState=enabled
  Activation=delayed
  ConfigurationPolicy=optional
  ServiceType=singleton
  Services=javax.servlet.Servlet
  ServiceId=3028
  Reference=assetsConfiguration, Satisfied
    Service Name: com.composum.pages.commons.AssetsConfiguration
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3005 (com.composum.pages.commons.AssetsConfigImpl)
  Reference=pagesConfiguration, Satisfied
    Service Name: com.composum.pages.commons.PagesConfiguration
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3004 (com.composum.pages.commons.PagesConfigImpl)
  Reference=resourceManager, Satisfied
    Service Name: com.composum.pages.commons.service.ResourceManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
    Bound Service: ID 3012 (com.composum.pages.commons.service.PagesResourceManager)
  Reference=siteManager, Satisfied
    Service Name: com.composum.pages.commons.service.SiteManager
    Cardinality: 1..1
    Policy: static
    Policy Option: reluctant
