*** Bundlelist:
Status: 195 bundles in total - all 195 bundles active.

bcpkix (1.60) "bcpkix" [active, 188] 
org.apache.pdfbox.jempbox (1.8.16) "Apache JempBox" [active, 46] 
org.apache.pdfbox (2.0.12) "Apache PDFBox" [active, 51] 
org.apache.santuario.xmlsec (2.1.2) "Apache XML Security for Java" [active, 192] 
org.apache.servicemix.bundles.jaxb-impl (2.2.11.1) "Apache ServiceMix :: Bundles :: jaxb-impl" [active, 21] 
org.apache.servicemix.bundles.rhino (1.7.10.1) "Apache ServiceMix :: Bundles :: rhino" [active, 110] 
org.apache.servicemix.specs.jaxb-api-2.2 (2.9.0) "Apache ServiceMix :: Specs :: JAXB API 2.2" [active, 3] 
org.apache.servicemix.specs.jaxws-api-2.2 (2.9.0) "Apache ServiceMix :: Specs :: JAXWS API 2.2" [active, 17] 
org.apache.sling.adapter (2.1.10) "Apache Sling Adapter Manager Implementation" [active, 111] 
org.apache.sling.api (2.18.4) "Apache Sling API" [active, 112] 
org.apache.sling.auth.core (1.4.2) "Apache Sling Authentication Service" [active, 113] 
org.apache.sling.auth.form (1.0.12) "Apache Sling Form Based Authentication Handler" [active, 114] 
org.apache.sling.bundleresource.impl (2.3.2) "Apache Sling Bundle Resource Provider" [active, 115] 
org.apache.sling.caconfig.api (1.1.2) "Apache Sling Context-Aware Configuration API" [active, 116] 
org.apache.sling.caconfig.impl (1.4.14) "Apache Sling Context-Aware Configuration Implementation" [active, 117] 
org.apache.sling.caconfig.spi (1.3.4) "Apache Sling Context-Aware Configuration SPI" [active, 118] 
org.apache.sling.commons.classloader (1.4.2) "Apache Sling Dynamic Class Loader Support" [active, 119] 
org.apache.sling.commons.compiler (2.3.6) "Apache Sling Commons Java Compiler" [active, 120] 
org.apache.sling.commons.fsclassloader (1.0.8) "Apache Sling Commons FileSystem ClassLoader" [active, 121] 
org.apache.sling.commons.johnzon (1.1.2) "Apache Sling Commons Johnzon Wrapper Library" [active, 38] 
org.apache.sling.commons.log.webconsole (1.0.0) "Apache Sling Log WebConsole" [active, 39] 
org.apache.sling.commons.log (5.1.10) "Apache Sling Commons Log" [active, 10] 
org.apache.sling.commons.logservice (1.0.6) "Apache Sling OSGi LogService Implementation" [active, 11] 
org.apache.sling.commons.metrics (1.2.6) "Apache Sling Metrics" [active, 77] 
org.apache.sling.commons.mime (2.2.0) "Apache Sling Commons MIME type mapping support" [active, 122] 
org.apache.sling.commons.osgi (2.4.0) "Apache Sling Commons OSGi support" [active, 123] 
org.apache.sling.commons.scheduler (2.7.2) "Apache Sling Scheduler Support" [active, 124] 
org.apache.sling.commons.threads (3.2.18) "Apache Sling Thread Support" [active, 125] 
org.apache.sling.discovery.api (1.0.4) "Apache Sling Discovery API" [active, 126] 
org.apache.sling.discovery.base (2.0.8) "Apache Sling Discovery Base" [active, 127] 
org.apache.sling.discovery.commons (1.0.20) "Apache Sling Discovery Commons" [active, 128] 
org.apache.sling.discovery.oak (1.2.28) "Apache Sling Oak-Based Discovery Service" [active, 129] 
org.apache.sling.discovery.support (1.0.4) "Apache Sling Discovery Support Bundle" [active, 130] 
org.apache.sling.engine (2.6.14) "Apache Sling Engine Implementation" [active, 131] 
org.apache.sling.event.dea (1.1.2) "Apache Sling Distributed Event Admin" [active, 133] 
org.apache.sling.event (4.2.12) "Apache Sling Event Support" [active, 132] 
org.apache.sling.extensions.threaddump (0.2.2) "Apache Sling Thread Dumper" [active, 40] 
